Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category,Date Time
Viet Nam,Cao Bang,47,Good,12,Good,92,Good,33,Good,9,Good,2023-07-27 19:00:00
Russian Federation,Kurskaya,40,Good,10,Good,72,Good,4,Good,4,Good,2023-10-22 09:00:00
Brazil,Palmares,45,Good,8,Good,7,Good,56,Good,8,Good,2023-07-17 12:00:00
India,Sidhi,162,Unhealthy,11,Good,13,Unhealthy,66,Good,73,Unhealthy,2023-05-21 17:00:00
Myanmar,Loikaw,15,Good,10,Good,12,Good,48,Good,2,Good,2023-02-06 17:00:00
Netherlands,Harenkarspel,38,Good,2,Good,54,Good,42,Good,8,Good,2023-10-28 17:00:00
Lesotho,Quthing,77,Moderate,6,Good,118,Good,87,Good,31,Moderate,2023-10-01 20:00:00
Belgium,Brugge,37,Good,5,Good,116,Good,16,Good,9,Good,2023-03-25 13:00:00
France,Enghien Les Bains,55,Moderate,13,Good,107,Good,43,Good,26,Moderate,2023-02-10 12:00:00
Poland,Szamotuly,51,Moderate,13,Good,118,Good,85,Good,24,Moderate,2023-09-22 05:00:00
Poland,Zory,68,Moderate,0,Good,109,Good,73,Good,20,Moderate,2023-10-09 21:00:00
United States of America,Taylors,58,Moderate,6,Good,74,Good,20,Good,28,Moderate,2023-12-21 09:00:00
Brazil,Novo Cruzeiro,23,Good,8,Good,56,Good,77,Good,10,Good,2023-08-12 05:00:00
United States of America,Berkley,85,Moderate,3,Good,20,Good,61,Good,14,Moderate,2023-06-18 22:00:00
India,Karauli,213,Very Unhealthy,9,Good,97,Good,35,Good,233,Very Unhealthy,2023-03-24 16:00:00
United Kingdom of Great Britain and Northern Ireland,Havant,41,Good,14,Good,40,Good,16,Good,3,Good,2023-11-22 22:00:00
Honduras,Cofradia,74,Moderate,11,Good,63,Good,89,Good,34,Moderate,2023-06-08 07:00:00
Nigeria,Port Harcourt,179,Unhealthy,3,Good,117,Good,64,Good,115,Unhealthy,2023-06-01 20:00:00
Russian Federation,Uzhur,33,Good,0,Good,29,Good,56,Good,10,Good,2023-10-22 03:00:00
India,Rajur,150,Unhealthy,6,Good,115,Good,14,Good,137,Unhealthy,2023-06-07 13:00:00
Japan,Inuyama,47,Good,13,Good,93,Good,61,Good,1,Good,2023-03-31 17:00:00
Czechia,Pisek,66,Moderate,13,Good,1,Good,4,Good,29,Moderate,2023-10-08 21:00:00
Netherlands,Bussum,38,Good,4,Good,100,Good,67,Good,9,Good,2023-10-01 00:00:00
Congo,Kinkala,68,Moderate,14,Good,12,Good,79,Good,32,Moderate,2023-10-24 16:00:00
Brazil,Barreirinha,25,Good,2,Good,19,Good,60,Good,12,Good,2023-03-03 13:00:00
India,Bali Chak,166,Unhealthy,10,Good,92,Moderate,73,Good,150,Unhealthy,2023-07-10 20:00:00
United States of America,South Lake Tahoe,54,Moderate,11,Good,119,Good,88,Good,32,Moderate,2023-09-08 15:00:00
Russian Federation,Meleuz,36,Good,1,Good,22,Good,60,Good,10,Good,2023-03-06 18:00:00
United States of America,Grand Haven,53,Moderate,6,Good,106,Good,76,Good,34,Moderate,2023-11-01 13:00:00
Guatemala,Cubulco,77,Moderate,7,Good,102,Good,37,Good,32,Moderate,2023-10-30 13:00:00
France,Le Robert,106,Unhealthy for Sensitive Groups,5,Good,16,Good,42,Good,40,Unhealthy for Sensitive Groups,2023-02-01 14:00:00
El Salvador,Acajutla,71,Moderate,4,Good,99,Good,41,Good,29,Moderate,2023-11-22 18:00:00
Netherlands,Willemstad,121,Unhealthy for Sensitive Groups,10,Good,101,Good,41,Good,44,Unhealthy for Sensitive Groups,2023-07-05 05:00:00
United States of America,White Settlement,50,Good,10,Good,91,Good,14,Good,2,Good,2023-02-03 20:00:00
United States of America,University Place,44,Good,7,Good,113,Good,10,Good,7,Good,2023-04-24 20:00:00
Netherlands,Haaren,41,Good,12,Good,113,Good,85,Good,2,Good,2023-07-27 10:00:00
Poland,Radzionkow,112,Unhealthy for Sensitive Groups,12,Good,43,Good,63,Good,40,Unhealthy for Sensitive Groups,2023-10-25 22:00:00
Germany,Peine,45,Good,7,Good,94,Good,71,Good,9,Good,2023-07-17 21:00:00
China,Suozhen,156,Unhealthy,3,Good,114,Unhealthy for Sensitive Groups,67,Good,57,Unhealthy,2023-02-23 11:00:00
India,Handia,189,Unhealthy,1,Good,80,Moderate,83,Good,67,Unhealthy,2023-06-08 04:00:00
Romania,Petrila,53,Moderate,6,Good,14,Good,16,Good,18,Moderate,2023-02-19 08:00:00
Netherlands,Breukelen,35,Good,12,Good,48,Good,35,Good,3,Good,2023-12-27 16:00:00
Pakistan,Lalian,173,Unhealthy,12,Good,85,Unhealthy for Sensitive Groups,91,Good,83,Unhealthy,2023-02-18 18:00:00
Italy,Villa Literno,49,Good,3,Good,109,Good,82,Good,11,Good,2023-01-06 10:00:00
Nepal,Baglung,121,Unhealthy for Sensitive Groups,3,Good,93,Good,9,Good,49,Unhealthy for Sensitive Groups,2023-12-06 17:00:00
Germany,Hagen,30,Good,2,Good,71,Good,16,Good,0,Good,2023-04-21 12:00:00
Bulgaria,Kazanlak,56,Moderate,1,Good,86,Good,71,Good,15,Moderate,2023-05-14 03:00:00
Italy,Trezzo,59,Moderate,9,Good,105,Good,91,Good,21,Moderate,2023-02-22 05:00:00
India,Harpalpur,167,Unhealthy,9,Good,110,Unhealthy for Sensitive Groups,78,Good,134,Unhealthy,2023-06-03 03:00:00
United States of America,Little Rock,68,Moderate,6,Good,24,Good,12,Good,35,Moderate,2023-04-27 17:00:00
Italy,Roncade,52,Moderate,14,Good,69,Good,75,Good,13,Moderate,2023-08-05 03:00:00
India,Handia,189,Unhealthy,4,Good,91,Moderate,30,Good,146,Unhealthy,2023-12-25 13:00:00
Brazil,Guapiacu,57,Moderate,8,Good,91,Good,24,Good,16,Moderate,2023-10-01 17:00:00
India,Narnaund,152,Unhealthy,2,Good,84,Unhealthy for Sensitive Groups,86,Good,62,Unhealthy,2023-01-31 18:00:00
Germany,Hameln,37,Good,10,Good,57,Good,57,Good,0,Good,2023-07-14 12:00:00
United Republic of Tanzania,Kilindoni,36,Good,14,Good,18,Good,20,Good,5,Good,2023-06-12 09:00:00
Croatia,Vukovar,69,Moderate,14,Good,34,Good,55,Good,28,Moderate,2023-03-03 11:00:00
Germany,Erlenbach,35,Good,2,Good,62,Good,56,Good,3,Good,2023-12-08 01:00:00
India,Baramula,152,Unhealthy,6,Good,76,Good,98,Good,97,Unhealthy,2023-07-06 02:00:00
Paraguay,Asuncion,26,Good,4,Good,92,Good,13,Good,10,Good,2023-11-19 13:00:00
Japan,Nobeoka,40,Good,14,Good,41,Good,99,Good,5,Good,2023-05-01 18:00:00
Germany,Cadolzburg,64,Moderate,10,Good,100,Moderate,66,Good,14,Moderate,2023-12-23 16:00:00
Philippines,Calatagan,50,Good,8,Good,85,Good,38,Good,1,Good,2023-10-08 04:00:00
India,Shahpura,169,Unhealthy,6,Good,74,Good,38,Good,75,Unhealthy,2023-10-24 21:00:00
United States of America,Takoma Park,47,Good,2,Good,76,Good,45,Good,1,Good,2023-01-12 20:00:00
Mexico,Cuautepec,160,Unhealthy,4,Good,63,Good,88,Good,129,Unhealthy,2023-02-14 09:00:00
United Republic of Tanzania,Maswa,24,Good,11,Good,73,Good,18,Good,2,Good,2023-04-25 01:00:00
France,Coudekerque Branche,44,Good,10,Good,92,Good,36,Good,6,Good,2023-04-06 22:00:00
Belgium,Temse,42,Good,7,Good,64,Good,91,Good,7,Good,2023-04-18 02:00:00
India,Dahanu,76,Moderate,1,Good,36,Good,48,Good,22,Moderate,2023-05-06 10:00:00
Japan,Yoshii,69,Moderate,0,Good,37,Good,7,Good,28,Moderate,2023-11-16 09:00:00
United States of America,Rome,67,Moderate,8,Good,114,Good,67,Good,34,Moderate,2023-05-23 14:00:00
South Africa,Glencoe,139,Unhealthy for Sensitive Groups,6,Good,107,Good,22,Good,38,Unhealthy for Sensitive Groups,2023-04-11 03:00:00
Colombia,Soata,26,Good,3,Good,113,Good,78,Good,0,Good,2023-09-12 12:00:00
Russian Federation,Krasnogvardeyskoye,48,Good,9,Good,23,Good,97,Good,6,Good,2023-11-24 00:00:00
Lesotho,Quthing,77,Moderate,0,Good,25,Good,20,Good,31,Moderate,2023-04-14 01:00:00
Italy,Racconigi,73,Moderate,14,Good,92,Good,51,Good,34,Moderate,2023-02-10 05:00:00
United Kingdom of Great Britain and Northern Ireland,Havant,41,Good,5,Good,83,Good,34,Good,10,Good,2023-04-23 01:00:00
Netherlands,Sint Oedenrode,38,Good,8,Good,69,Good,31,Good,4,Good,2023-09-13 17:00:00
Italy,Porto Empedocle,65,Moderate,9,Good,68,Good,23,Good,21,Moderate,2023-10-13 08:00:00
United Kingdom of Great Britain and Northern Ireland,Cheltenham,47,Good,11,Good,65,Good,69,Good,9,Good,2023-08-24 21:00:00
India,Fatehgarh Churian,248,Very Unhealthy,6,Good,102,Unhealthy,99,Good,212,Very Unhealthy,2023-02-15 01:00:00
Poland,Sulecin,55,Moderate,6,Good,18,Good,16,Good,30,Moderate,2023-02-27 21:00:00
Japan,Yatsuo,43,Good,0,Good,63,Good,4,Good,11,Good,2023-07-30 15:00:00
Germany,Lilienthal,65,Moderate,2,Good,61,Good,16,Good,22,Moderate,2023-06-07 03:00:00
India,Karauli,213,Very Unhealthy,13,Good,116,Good,8,Good,172,Very Unhealthy,2023-09-15 17:00:00
Iran (Islamic Republic of),Zanjan,58,Moderate,5,Good,0,Good,48,Good,33,Moderate,2023-09-04 21:00:00
Germany,Goslar,38,Good,2,Good,115,Good,53,Good,7,Good,2023-03-31 11:00:00
India,Hangal,70,Moderate,8,Good,22,Good,1,Good,17,Moderate,2023-01-04 04:00:00
India,Sardhana,160,Unhealthy,12,Good,47,Unhealthy for Sensitive Groups,19,Good,148,Unhealthy,2023-02-07 03:00:00
Japan,Hitoyoshi,52,Moderate,8,Good,47,Good,87,Good,19,Moderate,2023-06-20 14:00:00
Germany,Bremen,66,Moderate,10,Good,100,Good,35,Good,13,Moderate,2023-09-27 06:00:00
United States of America,Taylors,58,Moderate,8,Good,114,Good,24,Good,28,Moderate,2023-01-09 11:00:00
Russian Federation,Gorkovskiy,38,Good,12,Good,119,Good,57,Good,1,Good,2023-11-01 16:00:00
China,Beibei,166,Unhealthy,2,Good,10,Moderate,44,Good,74,Unhealthy,2023-12-25 05:00:00
Spain,Huesca,37,Good,13,Good,31,Good,67,Good,9,Good,2023-01-23 07:00:00
Ghana,Nsawam,28,Good,9,Good,69,Good,59,Good,5,Good,2023-05-29 10:00:00
Pakistan,Sarhari,165,Unhealthy,5,Good,23,Good,65,Good,56,Unhealthy,2023-11-10 16:00:00
United States of America,Ledyard,41,Good,10,Good,86,Good,43,Good,1,Good,2023-02-12 22:00:00
Germany,Kall,58,Moderate,4,Good,60,Good,85,Good,14,Moderate,2023-10-21 03:00:00
Kazakhstan,Ilyich,161,Unhealthy,0,Good,68,Moderate,73,Good,63,Unhealthy,2023-05-08 21:00:00
India,Phulabani,161,Unhealthy,12,Good,115,Moderate,86,Good,145,Unhealthy,2023-09-28 01:00:00
India,Kodumudi,71,Moderate,13,Good,77,Good,31,Good,30,Moderate,2023-05-16 06:00:00
France,Le Robert,106,Unhealthy for Sensitive Groups,13,Good,48,Good,13,Good,53,Unhealthy for Sensitive Groups,2023-09-02 12:00:00
Russian Federation,Korkino,34,Good,5,Good,62,Good,43,Good,5,Good,2023-10-08 22:00:00
France,Epernay,53,Moderate,7,Good,95,Good,1,Good,27,Moderate,2023-09-18 08:00:00
United States of America,Wayland,47,Good,8,Good,68,Good,92,Good,6,Good,2023-12-02 22:00:00
Chile,Curico,93,Moderate,0,Good,111,Good,72,Good,27,Moderate,2023-11-06 14:00:00
France,Septemes Les Vallons,31,Good,0,Good,107,Good,85,Good,10,Good,2023-05-03 07:00:00
Myanmar,Taunggyi,39,Good,7,Good,8,Good,23,Good,4,Good,2023-03-20 07:00:00
United Republic of Tanzania,Kisesa,24,Good,14,Good,58,Good,20,Good,11,Good,2023-05-29 00:00:00
India,Manohar Thana,168,Unhealthy,7,Good,61,Good,81,Good,104,Unhealthy,2023-09-19 17:00:00
United States of America,Lompoc,38,Good,3,Good,75,Good,62,Good,8,Good,2023-08-15 07:00:00
Russian Federation,Cherdakly,51,Moderate,14,Good,48,Good,95,Good,32,Moderate,2023-06-04 02:00:00
France,Levallois Perret,70,Moderate,7,Good,65,Good,23,Good,15,Moderate,2023-11-19 14:00:00
France,Epernay,53,Moderate,6,Good,80,Good,53,Good,22,Moderate,2023-09-19 22:00:00
Iran (Islamic Republic of),Bandar E Torkaman,153,Unhealthy,1,Good,54,Good,84,Good,60,Unhealthy,2023-10-04 08:00:00
Japan,Inuyama,47,Good,8,Good,64,Good,83,Good,9,Good,2023-12-02 02:00:00
Hungary,Tata,66,Moderate,5,Good,119,Good,24,Good,30,Moderate,2023-03-21 18:00:00
Germany,Wehr,94,Moderate,0,Good,83,Good,28,Good,35,Moderate,2023-12-15 19:00:00
Brazil,Iguaba Grande,61,Moderate,2,Good,118,Good,95,Good,13,Moderate,2023-09-29 12:00:00
Italy,Pavullo Nel Frignano,95,Moderate,0,Good,10,Good,63,Good,26,Moderate,2023-03-06 01:00:00
Belgium,De Pinte,36,Good,8,Good,80,Good,66,Good,3,Good,2023-09-13 06:00:00
Brazil,Caririacu,27,Good,13,Good,45,Good,86,Good,6,Good,2023-04-01 12:00:00
United States of America,Shawnee,95,Moderate,9,Good,7,Good,33,Good,19,Moderate,2023-08-01 04:00:00
India,Neyveli,61,Moderate,5,Good,11,Good,62,Good,14,Moderate,2023-06-17 19:00:00
United States of America,Beeville,36,Good,1,Good,9,Good,24,Good,12,Good,2023-05-16 21:00:00
France,Levallois Perret,70,Moderate,9,Good,57,Good,89,Good,15,Moderate,2023-05-12 01:00:00
United States of America,Rock Springs,22,Good,4,Good,60,Good,18,Good,7,Good,2023-07-22 05:00:00
Poland,Katowice,80,Moderate,4,Good,89,Good,91,Good,23,Moderate,2023-06-09 03:00:00
United States of America,Hopkins,54,Moderate,3,Good,74,Good,34,Good,17,Moderate,2023-05-06 12:00:00
Brazil,Piquete,52,Moderate,3,Good,98,Good,50,Good,17,Moderate,2023-07-01 23:00:00
France,Luneville,38,Good,0,Good,19,Good,20,Good,1,Good,2023-12-26 01:00:00
Poland,Pulawy,30,Good,0,Good,76,Good,98,Good,2,Good,2023-10-01 04:00:00
Madagascar,Arivonimamo,21,Good,2,Good,56,Good,56,Good,3,Good,2023-05-29 13:00:00
Russian Federation,Gusev,34,Good,1,Good,55,Good,3,Good,4,Good,2023-08-06 15:00:00
India,Mundwa,212,Very Unhealthy,5,Good,42,Good,57,Good,215,Very Unhealthy,2023-05-26 05:00:00
United States of America,Orange,51,Moderate,7,Good,28,Good,61,Good,23,Moderate,2023-05-24 08:00:00
Afghanistan,Dawlatabad,92,Moderate,9,Good,29,Good,6,Good,29,Moderate,2023-04-24 09:00:00
United States of America,Rosedale,42,Good,9,Good,81,Good,57,Good,6,Good,2023-07-01 14:00:00
Brazil,Russas,28,Good,9,Good,48,Good,93,Good,4,Good,2023-08-06 01:00:00
Pakistan,Bhopalwala,153,Unhealthy,1,Good,107,Unhealthy for Sensitive Groups,58,Good,111,Unhealthy,2023-07-02 12:00:00
Russian Federation,Izberbash,51,Moderate,9,Good,12,Good,24,Good,19,Moderate,2023-11-22 16:00:00
Poland,Krotoszyn,55,Moderate,1,Good,70,Good,59,Good,34,Moderate,2023-02-08 18:00:00
Venezuela (Bolivarian Republic of),El Tocuyo,39,Good,9,Good,113,Good,38,Good,3,Good,2023-01-29 16:00:00
India,Rudarpur,119,Unhealthy for Sensitive Groups,14,Good,55,Moderate,14,Good,37,Unhealthy for Sensitive Groups,2023-08-05 07:00:00
United States of America,Corsicana,47,Good,0,Good,40,Good,73,Good,8,Good,2023-12-08 04:00:00
France,Ajaccio,44,Good,8,Good,98,Good,8,Good,6,Good,2022-01-09 14:00:00
India,Mangaldai,64,Moderate,6,Good,87,Good,37,Good,22,Moderate,2022-07-13 07:00:00
Brazil,Carazinho,19,Good,12,Good,65,Good,94,Good,5,Good,2022-09-03 11:00:00
Thailand,Chumphon,41,Good,2,Good,10,Good,99,Good,5,Good,2022-07-20 19:00:00
Pakistan,Sarai Naurang,175,Unhealthy,12,Good,95,Moderate,59,Good,128,Unhealthy,2022-06-28 02:00:00
France,Limeil Brevannes,73,Moderate,6,Good,21,Good,29,Good,16,Moderate,2022-08-31 18:00:00
Italy,Porto Empedocle,65,Moderate,0,Good,40,Good,15,Good,27,Moderate,2022-10-03 10:00:00
India,Polur,60,Moderate,5,Good,4,Good,53,Good,23,Moderate,2022-05-04 20:00:00
India,Cumbum,106,Unhealthy for Sensitive Groups,10,Good,110,Good,79,Good,53,Unhealthy for Sensitive Groups,2022-07-03 15:00:00
France,Saint Benoit,57,Moderate,13,Good,47,Good,42,Good,23,Moderate,2022-06-25 15:00:00
Germany,Tostedt,35,Good,6,Good,13,Good,91,Good,5,Good,2022-06-15 00:00:00
France,Saint Sebastien Sur Loire,32,Good,3,Good,5,Good,44,Good,5,Good,2022-04-22 23:00:00
United Kingdom of Great Britain and Northern Ireland,Salford,58,Moderate,7,Good,30,Good,67,Good,24,Moderate,2022-05-12 23:00:00
India,Silvassa,134,Unhealthy for Sensitive Groups,8,Good,89,Good,81,Good,50,Unhealthy for Sensitive Groups,2022-04-11 12:00:00
Italy,Trebaseleghe,78,Moderate,8,Good,95,Good,19,Good,22,Moderate,2022-04-16 05:00:00
Guatemala,San Pedro Sacatepequez,57,Moderate,0,Good,104,Good,38,Good,34,Moderate,2022-10-15 21:00:00
Montenegro,Niksic,79,Moderate,6,Good,53,Good,30,Good,20,Moderate,2022-12-15 02:00:00
Madagascar,Nosy Varika,25,Good,7,Good,20,Good,57,Good,9,Good,2022-01-31 20:00:00
Spain,Martorell,36,Good,6,Good,109,Good,47,Good,10,Good,2022-10-18 12:00:00
India,Tirur,71,Moderate,7,Good,4,Good,27,Good,34,Moderate,2022-03-19 18:00:00
Germany,Rehburg Loccum,43,Good,2,Good,4,Good,65,Good,9,Good,2022-07-30 17:00:00
Brazil,Vitoria Da Conquista,38,Good,2,Good,3,Good,78,Good,4,Good,2022-07-17 02:00:00
United States of America,Fairview Heights,45,Good,11,Good,95,Good,50,Good,0,Good,2022-01-08 15:00:00
India,Sanquelim,84,Moderate,5,Good,19,Good,91,Good,14,Moderate,2022-09-27 01:00:00
Belgium,Soignies,49,Good,12,Good,28,Good,92,Good,9,Good,2022-12-17 06:00:00
Brazil,Sertanopolis,36,Good,12,Good,14,Good,47,Good,6,Good,2022-03-20 13:00:00
Cameroon,Guider,76,Moderate,9,Good,106,Good,47,Good,30,Moderate,2022-03-13 06:00:00
Afghanistan,Geresk,106,Unhealthy for Sensitive Groups,11,Good,18,Good,28,Good,44,Unhealthy for Sensitive Groups,2022-03-20 02:00:00
United States of America,Edison,50,Good,9,Good,0,Good,38,Good,6,Good,2022-09-26 11:00:00
Germany,Bad Langensalza,32,Good,3,Good,63,Good,1,Good,11,Good,2022-01-06 01:00:00
France,Pessac,54,Moderate,7,Good,92,Good,67,Good,17,Moderate,2022-11-28 19:00:00
Philippines,Katipunan,152,Unhealthy,7,Good,83,Good,63,Good,93,Unhealthy,2022-02-25 01:00:00
Slovenia,Celje,85,Moderate,12,Good,38,Good,37,Good,15,Moderate,2022-07-14 20:00:00
China,Shangqiu,132,Unhealthy for Sensitive Groups,11,Good,54,Unhealthy for Sensitive Groups,39,Good,25,Moderate,2022-09-29 13:00:00
South Africa,Fochville,154,Unhealthy,1,Good,13,Good,60,Good,122,Unhealthy,2022-01-10 09:00:00
Belgium,Herzele,51,Moderate,5,Good,69,Good,77,Good,29,Moderate,2022-05-22 06:00:00
United States of America,Beeville,36,Good,6,Good,45,Good,93,Good,5,Good,2022-10-10 05:00:00
Brazil,Varzea Alegre,22,Good,7,Good,118,Good,68,Good,12,Good,2022-05-15 05:00:00
United States of America,Glen Allen,53,Moderate,12,Good,3,Good,10,Good,14,Moderate,2022-05-20 09:00:00
India,Botad,127,Unhealthy for Sensitive Groups,13,Good,80,Good,40,Good,55,Unhealthy for Sensitive Groups,2022-07-17 18:00:00
Greece,Ioannina,69,Moderate,5,Good,65,Good,46,Good,22,Moderate,2022-12-19 09:00:00
El Salvador,Gotera,95,Moderate,8,Good,55,Good,50,Good,15,Moderate,2022-07-02 06:00:00
Ukraine,Chernyakhiv,56,Moderate,4,Good,17,Good,29,Good,25,Moderate,2022-05-09 17:00:00
Spain,San Lorenzo De El Escorial,23,Good,14,Good,46,Good,10,Good,4,Good,2022-04-26 13:00:00
Poland,Szamotuly,51,Moderate,9,Good,10,Good,81,Good,18,Moderate,2022-07-22 02:00:00
Portugal,Lamego,25,Good,10,Good,111,Good,76,Good,10,Good,2022-05-07 12:00:00
Italy,Bracciano,41,Good,11,Good,83,Good,48,Good,8,Good,2022-04-27 16:00:00
United States of America,Woonsocket,42,Good,6,Good,70,Good,47,Good,6,Good,2022-08-18 23:00:00
Panama,Panama,61,Moderate,6,Good,23,Good,28,Good,19,Moderate,2022-06-11 17:00:00
United Republic of Tanzania,Bugarama,45,Good,12,Good,96,Good,66,Good,1,Good,2022-12-25 07:00:00
Thailand,Phon,93,Moderate,14,Good,81,Good,30,Good,17,Moderate,2022-05-13 00:00:00
India,Bhander,166,Unhealthy,6,Good,64,Unhealthy for Sensitive Groups,71,Good,149,Unhealthy,2022-11-29 22:00:00
India,Karimganj,129,Unhealthy for Sensitive Groups,6,Good,98,Good,52,Good,48,Unhealthy for Sensitive Groups,2022-09-20 23:00:00
Viet Nam,Cao Bang,47,Good,4,Good,74,Good,10,Good,8,Good,2022-09-03 09:00:00
Russian Federation,Kurskaya,40,Good,0,Good,117,Good,58,Good,9,Good,2022-02-08 14:00:00
Brazil,Palmares,45,Good,14,Good,96,Good,34,Good,8,Good,2022-05-05 16:00:00
India,Sidhi,162,Unhealthy,7,Good,23,Unhealthy,17,Good,133,Unhealthy,2022-07-24 04:00:00
Myanmar,Loikaw,15,Good,14,Good,30,Good,17,Good,11,Good,2022-03-13 20:00:00
Netherlands,Harenkarspel,38,Good,0,Good,39,Good,86,Good,4,Good,2022-07-13 02:00:00
Lesotho,Quthing,77,Moderate,2,Good,14,Good,12,Good,29,Moderate,2022-03-26 09:00:00
Belgium,Brugge,37,Good,4,Good,76,Good,29,Good,2,Good,2022-11-15 17:00:00
France,Enghien Les Bains,55,Moderate,13,Good,101,Good,82,Good,22,Moderate,2022-09-05 06:00:00
Poland,Szamotuly,51,Moderate,10,Good,93,Good,41,Good,19,Moderate,2022-07-11 11:00:00
Poland,Zory,68,Moderate,11,Good,4,Good,3,Good,14,Moderate,2022-09-27 20:00:00
United States of America,Taylors,58,Moderate,8,Good,48,Good,23,Good,13,Moderate,2022-04-19 00:00:00
Brazil,Novo Cruzeiro,23,Good,6,Good,110,Good,34,Good,10,Good,2022-08-10 11:00:00
United States of America,Berkley,85,Moderate,2,Good,42,Good,50,Good,22,Moderate,2022-10-16 20:00:00
India,Karauli,213,Very Unhealthy,14,Good,45,Good,12,Good,243,Very Unhealthy,2022-08-01 11:00:00
United Kingdom of Great Britain and Northern Ireland,Havant,41,Good,8,Good,57,Good,31,Good,2,Good,2022-07-28 18:00:00
Honduras,Cofradia,74,Moderate,7,Good,89,Good,92,Good,24,Moderate,2022-11-12 11:00:00
Nigeria,Port Harcourt,179,Unhealthy,6,Good,25,Good,63,Good,135,Unhealthy,2022-04-15 05:00:00
Russian Federation,Uzhur,33,Good,11,Good,79,Good,20,Good,3,Good,2022-04-16 11:00:00
India,Rajur,150,Unhealthy,1,Good,21,Good,52,Good,75,Unhealthy,2022-07-13 05:00:00
Japan,Inuyama,47,Good,0,Good,14,Good,59,Good,3,Good,2022-03-06 04:00:00
Czechia,Pisek,66,Moderate,1,Good,59,Good,49,Good,24,Moderate,2022-12-11 12:00:00
Netherlands,Bussum,38,Good,12,Good,102,Good,7,Good,1,Good,2022-01-18 18:00:00
Congo,Kinkala,68,Moderate,11,Good,100,Good,43,Good,20,Moderate,2022-06-27 22:00:00
Brazil,Barreirinha,25,Good,5,Good,98,Good,30,Good,8,Good,2022-03-07 00:00:00
India,Bali Chak,166,Unhealthy,11,Good,2,Moderate,1,Good,122,Unhealthy,2022-06-18 18:00:00
United States of America,South Lake Tahoe,54,Moderate,6,Good,100,Good,66,Good,21,Moderate,2022-07-23 06:00:00
Russian Federation,Meleuz,36,Good,13,Good,15,Good,11,Good,8,Good,2022-04-22 16:00:00
United States of America,Grand Haven,53,Moderate,8,Good,28,Good,28,Good,30,Moderate,2022-05-21 08:00:00
Guatemala,Cubulco,77,Moderate,6,Good,88,Good,93,Good,33,Moderate,2022-04-08 22:00:00
France,Le Robert,106,Unhealthy for Sensitive Groups,11,Good,119,Good,81,Good,46,Unhealthy for Sensitive Groups,2022-05-05 23:00:00
El Salvador,Acajutla,71,Moderate,14,Good,34,Good,51,Good,20,Moderate,2022-08-13 10:00:00
Netherlands,Willemstad,121,Unhealthy for Sensitive Groups,4,Good,45,Good,1,Good,37,Unhealthy for Sensitive Groups,2022-01-31 03:00:00
United States of America,White Settlement,50,Good,14,Good,109,Good,10,Good,9,Good,2022-03-13 15:00:00
United States of America,University Place,44,Good,3,Good,118,Good,1,Good,1,Good,2022-09-30 19:00:00
Netherlands,Haaren,41,Good,2,Good,41,Good,32,Good,8,Good,2022-03-11 11:00:00
Poland,Radzionkow,112,Unhealthy for Sensitive Groups,9,Good,95,Good,57,Good,39,Unhealthy for Sensitive Groups,2022-05-23 04:00:00
Germany,Peine,45,Good,0,Good,25,Good,1,Good,8,Good,2022-05-16 11:00:00
China,Suozhen,156,Unhealthy,9,Good,65,Unhealthy for Sensitive Groups,87,Good,132,Unhealthy,2022-10-18 06:00:00
India,Handia,189,Unhealthy,8,Good,116,Moderate,41,Good,59,Unhealthy,2022-10-20 00:00:00
Romania,Petrila,53,Moderate,6,Good,96,Good,69,Good,23,Moderate,2022-12-06 22:00:00
Netherlands,Breukelen,35,Good,14,Good,44,Good,58,Good,1,Good,2022-12-23 11:00:00
Pakistan,Lalian,173,Unhealthy,12,Good,25,Unhealthy for Sensitive Groups,34,Good,118,Unhealthy,2022-05-29 13:00:00
Italy,Villa Literno,49,Good,9,Good,82,Good,71,Good,3,Good,2022-10-24 22:00:00
Nepal,Baglung,121,Unhealthy for Sensitive Groups,2,Good,23,Good,52,Good,40,Unhealthy for Sensitive Groups,2022-12-18 22:00:00
Germany,Hagen,30,Good,6,Good,73,Good,44,Good,12,Good,2022-10-25 21:00:00
Bulgaria,Kazanlak,56,Moderate,2,Good,49,Good,85,Good,17,Moderate,2022-02-02 09:00:00
Italy,Trezzo,59,Moderate,13,Good,36,Good,56,Good,19,Moderate,2022-06-15 14:00:00
India,Harpalpur,167,Unhealthy,5,Good,119,Unhealthy for Sensitive Groups,91,Good,124,Unhealthy,2022-07-20 07:00:00
United States of America,Little Rock,68,Moderate,3,Good,107,Good,52,Good,16,Moderate,2022-09-22 10:00:00
Italy,Roncade,52,Moderate,6,Good,113,Good,51,Good,30,Moderate,2022-06-16 10:00:00
India,Handia,189,Unhealthy,1,Good,62,Moderate,78,Good,64,Unhealthy,2022-09-19 11:00:00
Brazil,Guapiacu,57,Moderate,11,Good,20,Good,67,Good,24,Moderate,2022-04-01 01:00:00
India,Narnaund,152,Unhealthy,10,Good,27,Unhealthy for Sensitive Groups,49,Good,88,Unhealthy,2022-06-19 18:00:00
